sl No,item_code,item_description
1903,209.5.1,"Labour charges for chipping the damaged portion of old Cement plastering, existing roof plastering by manually by means without damaging the existing structure and surroundings and clearing the debris away from the site including cost of required tools and plants and necessary scaffolding if necessary etc all complete as directed by the departemntal officers. "
1904,209.5.2,"Clean removal of lime plaster from walls  without damaging the existing structure and surroundings and clearing the debris away from the site including cost of required tools and plant and necessary scaffolding if necessary etc., all complete in all respect and as directed by the departmental officers."
1905,209.5.3,Labour charges for chipping the existing old damaged Cement plastering wall and ceiling by manually by means without damaging the existing structure and surroundings and clearing the debris away from the site including cost of required tools and plants and necessary scaffolding if necessary etc all complete as directed by the departemntal officers. 
1906,209.6,"Clearning the existing sump including labour charges, cost of all clearning materials and required equipements such as brush, bleaching powder etc.,  all complete as directed by the departemntal officers. (The materials quality and brand should be got approved from the EE before use)"
1907,209.6.1,"Clearning the existing PVC Tank including labour charges, cost of all clearning materials and required equipements such as brush, bleaching powder etc.,  all complete as directed by the departemntal officers. (The materials quality and brand should be got approved from the EE before use)  "
1908,209.6.2,"Labour charges for cleaning the existing IC chamber including labour charges, cost of all clearning materials and required equipements etc.,  all complete as directed by the departemntal officers. (The cleaning materials quality and brand should be got approved from the EE before use)  "
1909,209.6.3,"Labour charges for cleaning and removing the sewage water in septic tank by using lorry for transporting and disposing the sewage water away from the site including labour charges and required equipements etc.,  all complete as directed by the departemntal officers. "
1910,209.6.4,"Labour charges for removal of sewer line blockages, from sewage lines including labour charges and required equipements etc.,  all complete as directed by the departemntal officers. "
1911,209.6.5,"Labour charges for removing silt and carbage from drain lines including labour charges for removing  and required tools & equipements etc.,  all complete as directed by the departemntal officers. "
1912,209.6.6,"Labour charges for cleaning the desilting the existing sewage well including labour charges and required equipements, necessary tools and plants etc.,  all complete as directed by the departemntal officers. "
1913,209.6.7,"Cleaning the existing sump and attending the leakage including labour charges, cost of all cleaning materials and required equipements such as brush, bleaching powder etc.,  all complete as directed by the departmental officers. (The materials quality and brand should be got approved from the EE before use)  "
1914,210,"Clean removal of the old cement plastering both inside and outside from the existing walls of brick masonry  without damaging the existing structure and surroundings and clearing the debris away from the site including cost of required tools and plant and necessary scaffolding if necessary etc., all complete in all respect and as directed by the departmental officers."
1915,211,"Dismantling the damaged cement concrete flooring C.C 1:5:10  (one of cement, five of sand, and ten of hard broken stone jelly) without affecting the adjacent structures, including the cost of required tools and plants and clearing the debris away from the site etc., all complete and as directed by the departmental officers."
1916,211.2,"Clean removal of damaged floor Plastering without affecting the adjacent structures including the cost of required tools and plants and scaffolding, if necessary and clearing the debris away from the site etc., all complete and as directed by the departmental officers "
1917,211.3,"Dismantling  the damaged top of floor Plastering in cement mortar without affecting the adjacent structures including the cost of required tools and plants and scaffolding, if necessary and clearing the debris away from the site etc., all complete and as directed by the departmental officers "
1918,211.4,"Cleaning the existing oepn terrace and clearing the vegetation in roof without affecting the adjacent structures including cost of required tools and plants and clearing the debris away from the site etc., all complete and as directed by the departmental officers."
1919,212,"Supply and delivery at site and fixing of FRCS manhole cover with frame with locking arrangement of clear opening heavy duty (35 M.T Capacity) to with stand any type of impact load if any, confirming to I.S.I specifications and as directed by the departmental officers"
1920,212.a,a) 45 cm x 45 cm
1921,212.b,b)For inspection chamber of size 60 cm x 60 cm (50 kg weight )
1922,212.1,"Dismantling the damaged Plain cement concrete in all floors without affecting the adjacent structures including the cost of required tools and plants and scaffolding, if necessary and clearing the debris away from the site etc., all complete and as directed by the departmental officers. "
1923,212.2,"Dismantling the damaged Plain cement concrete flooring  without affecting the adjacent structures, including the cost of required tools and plants and clearing the debris away from the site etc., all complete and as directed by the departmental officers."
1924,212.3,"Dismantling the damaged Plain cement concrete road without affecting the adjacent structures, including the cost of required tools and plants and clearing the debris away from the site etc., all complete and as directed by the departmental officers."
1925,212.4,"Dismantling the damaged RCC Precast slab in old drainage without affecting the adjacent structures, including the cost of required tools and plants and clearing the debris away from the site etc., all complete and as directed by the departmental officers."
